GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
Mass Effect Legendary Edition,1.87,84.143,4.1,110.0,4.8,2022-01-06,5442,2915
The Elder Scrolls V: Skyrim Special Edition,1.97,213.257,8.0,90.0,4.7,2020-12-15,3055,1550
Mass Effect 2,1.34,221.178,9.6,55.0,4.7,2020-11-09,1819,1355
Stardew Valley,3.04,51.53,1.0,175.0,4.7,2021-12-02,3036,1000
It Takes Two,1.68,71.981,15.6,13.5,4.7,2021-11-03,1678,1000
Hades,2.4,83.71,6.1,70.0,4.6,2021-06-18,2404,1000
Resident Evil 7: Biohazard Grotesque Ver.,1.58,777.0,9.8,17.5,4.6,2020-09-17,2560,1620
Yakuza: Like a Dragon,2.13,39.229,3.8,90.0,4.6,2021-06-13,2130,1000
Forza Horizon 4,2.91,379.536,0.9,70.0,4.6,2019-12-18,10516,3610
HITMAN 3,2.73,63.57,1.9,27.5,4.6,2022-03-13,4202,1540
Ori and the Will of the Wisps,3.25,105.933,1.3,22.5,4.6,2020-03-06,3250,1000
Forza Horizon 5,2.5,301.931,1.6,90.0,4.5,2021-11-05,2497,1000
Psychonauts 2,1.94,98.026,10.3,27.5,4.5,2021-08-25,1942,1000
Mass Effect 3,1.52,197.006,5.8,55.0,4.5,2020-11-09,2357,1550
Final Fantasy X/X-2 HD Remaster,4.46,25.727,1.2,175.0,4.5,2021-05-12,4458,1000
Halo: The Master Chief Collection,3.44,455.839,0.4,400.0,4.5,2020-10-20,24046,7000
Fallout 4,1.78,365.955,3.6,90.0,4.5,2021-03-12,2856,1600
Fallout 3,1.58,358.627,9.9,70.0,4.5,2021-06-13,2447,1550
Ori and the Blind Forest: Definitive Edition,3.11,155.957,0.7,22.5,4.5,2020-10-21,3893,1250
Dead Space 2,1.7,150.214,4.5,22.5,4.5,2020-11-09,2122,1250
Batman: Arkham Knight,2.23,254.473,1.1,45.0,4.5,2019-12-16,4454,2000
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,3.11,52.22,4.6,110.0,4.5,2020-12-05,3105,1000
Death's Door,1.62,17.756,13.2,17.5,4.5,2022-01-20,1625,1000
Hollow Knight: Voidheart Edition,4.21,52.927,1.0,70.0,4.5,2019-06-09,4212,1000
Yakuza 6: The Song of Life,2.01,8.621,7.1,55.0,4.4,2021-03-25,2015,1000
Frostpunk: Console Edition,6.05,10.578,0.2,175.0,4.4,2020-01-09,8416,1390
Gears of War 3,2.69,388.495,0.7,1000.0,4.4,2019-12-16,5374,2000
Dead Space (Xbox 360),1.74,240.537,10.5,22.5,4.4,2020-11-09,1737,1000
Dragon Age: Inquisition,2.28,200.501,1.2,90.0,4.4,2020-11-09,3577,1570
A Plague Tale: Innocence,1.81,102.572,15.0,17.5,4.4,2020-01-23,1812,1000
Mass Effect,1.83,273.105,6.4,70.0,4.4,2019-12-16,2196,1200
Resident Evil 7: Biohazard,2.77,183.99,1.0,22.5,4.4,2020-10-21,4491,1620
DOOM Eternal,2.51,136.574,0.8,27.5,4.4,2020-10-01,3879,1545
DOOM,2.99,218.613,1.3,22.5,4.4,2021-06-13,4730,1580
Mortal Kombat 11,2.09,94.07,3.6,45.0,4.4,2021-12-15,2087,1000
Marvel's Guardians of the Galaxy,1.65,100.648,4.9,22.5,4.4,2022-03-10,1651,1000
Fallout: New Vegas,1.83,256.198,5.9,70.0,4.4,2019-12-16,3023,1655
Microsoft Flight Simulator,12.32,91.677,0.0,1000.0,4.4,2021-12-04,12323,1000
The Elder Scrolls IV: Oblivion,1.47,256.417,18.4,70.0,4.4,2021-03-12,1831,1250
Gears of War: Ultimate Edition,2.55,230.079,1.2,175.0,4.4,2019-12-16,3188,1250
Spiritfarer: Farewell Edition,2.07,27.767,6.4,27.5,4.4,2020-08-18,2074,1000
Titanfall 2,1.83,270.736,4.6,17.5,4.3,2020-11-09,1830,1000
The Walking Dead,1.33,208.528,34.9,13.5,4.3,2019-12-16,1332,1000
Star Wars Jedi: Fallen Order,1.94,265.357,10.2,27.5,4.3,2020-11-10,1940,1000
Dishonored Definitive Edition,3.46,68.14,0.7,70.0,4.3,2021-03-12,5680,1640
DOOM (1993),3.1,43.211,0.8,11.0,4.3,2021-03-12,3103,1000
Stellaris: Console Edition,3.74,11.695,0.0,,4.3,2019-12-16,11581,3100
